State,Average Crime Rate,Labor Force,Unemployed,State Unemployment Rate (%)
AK,289,356886,23510,6.59
AL,386,2198844,86493,3.93
AR,335,1351498,50038,3.7
AZ,353,3439758,166205,4.83
CA,416,19398212,815409,4.2
CO,182,3096364,101608,3.28
CT,181,1905313,78243,4.11
DC,1217,404610,22470,5.55
DE,524,482465,18128,3.76
FL,413,10234772,365099,3.57
GA,296,5107673,201255,3.94
HI,203,678735,16607,2.45
IA,169,1686848,42570,2.52
ID,157,857054,24321,2.84
IL,243,6469683,278358,4.3
IN,139,3381721,116142,3.43
KS,237,1482228,49835,3.36
KY,99,2061631,89319,4.33
LA,398,2103502,102708,4.88
MA,392,3805451,127049,3.34
MD,378,3197137,125484,3.92
ME,116,698749,23527,3.37
MI,244,4902081,203231,4.15
MN,134,3070229,89340,2.91
MO,270,3052398,97585,3.2
MS,146,1275732,60737,4.76
MT,183,528250,19659,3.72
NC,269,4981845,194517,3.9
ND,94,404302,10546,2.61
NE,62,1020205,28513,2.79
NH,160,761750,19239,2.53
NJ,271,4422943,183376,4.15
NM,427,940362,46539,4.95
NV,435,1500379,68419,4.56
NY,212,9574705,393647,4.11
OH,138,5754940,263349,4.58
OK,254,1841876,62504,3.39
OR,167,2104519,87365,4.15
PA,222,6424425,275788,4.29
RI,158,555807,22636,4.07
SC,581,2323214,79555,3.42
SD,99,459462,13860,3.02
TN,401,3244928,113266,3.49
TX,255,13848097,533882,3.86
UT,145,1572137,48978,3.12
VA,173,4331384,128585,2.97
VT,119,346061,9223,2.67
WA,205,3793095,170797,4.5
WI,143,3133301,94006,3
WV,253,783351,41170,5.26
WY,155,289576,11755,4.06
