State,Total Tax,Annual Median
AL,11055577.00,133891.67
AK,1641733.00,310387.5
AZ,16293917.00,240816.67
AR,9843173.00,127237.5
CA,175016884.00,560075
CO,14802263.00,370450
CT,19081475.00,250791.67
DC,7959386.00,790700
DE,4219706.00,239100
FL,45961204.00,231079.17
GA,23602510.00,157400
HI,7714451.00,694550
ID,4848359.00,216508.33
IL,39857069.00,160154.165
IN,19397879.00,130333.33
IA,10088480.00,155470.83
KS,9546790.00,117291.67
KY,12059970.00,135425
LA,11357686.00,142550
ME,4410632.00,216150
MD,22427037.00,308441.67
MA,29654803.00,382825
MI,30508361.00,147995.835
MN,26697469.00,205158.33
MS,7890571.00,112633.33
MO,13027504.00,151025
MT,2944827.00,225283.33
NE,5393093.00,164125
NV,9157036.00,299350
NH,2920888.00,250870.835
NJ,35365046.00,340854.165
NM,5671904.00,193387.5
NY,88541099.00,190458.33
NC,27855070.00,157200
ND,4205184.00,192150
OH,29130040.00,133425
OK,9563830.00,101575
OR,12644869.00,302187.5
PA,40709545.00,156895.835
RI,3483100.00,281462.5
SC,10550096.00,144158.33
SD,1917548.00,201525
TN,14269061.00,125095.83
TX,60328843.00,170387.5
UT,8038709.00,300758.33
VT,3284231.00,198525
VA,23489398.00,224033.33
WA,26574889.00,337216.67
WV,5417673.00,108900
WI,18742929.00,173850
WY,1837401.00,220241.665
